Iter TetId Residual Parallel
1 236 0.936377 0.350995
2 177 0.877934 0.344215
3 82 0.839482 0.28512
4 140 0.793712 0.286096
5 28 0.736936 0.35602
6 61 0.640377 0.393828
7 172 0.535192 0.451059
8 98 0.495663 0.35527
9 149 0.445932 0.297253
10 213 0.388031 0.415854
11 35 0.371472 0.227164
12 37 0.308792 0.315822
13 205 0.267867 0.266276
14 103 0.217379 0.277656
15 56 0.19252 0.248218
16 227 0.19252 0.174009
17 227 0.19252 0.174009
18 227 0.19252 0.174009
19 227 0.19252 0.174009
20 227 0.19252 0.174009
21 227 0.19252 0.174009
22 227 0.19252 0.174009
23 227 0.19252 0.174009
24 227 0.19252 0.174009
